"functional_classification","t_volume","t_sample_count","t_volume_corrected","state","start_time"
"Major Collector","23507","5176","23507","CA","2018-07-01"
"Minor Arterial","31368","39860","31368","CA","2018-07-01"
"Principal Arterial - Other","38461","27368","38461","CA","2018-07-01"
"Principal Arterial - Other Freeways and Expressways","13082","5952","13082","CA","2018-07-01"
"Trail or Shared Use Path","51255","17856","51255","CA","2018-07-01"
"Major Collector","18655","5284","18655","CA","2018-08-01"
"Minor Arterial","28593","35704","28593","CA","2018-08-01"
"Principal Arterial - Other","34073","26784","34073","CA","2018-08-01"
"Principal Arterial - Other Freeways and Expressways","13130","5952","13130","CA","2018-08-01"
"Trail or Shared Use Path","52523","17856","52523","CA","2018-08-01"
"Major Collector","18998","4148","18998","CA","2018-09-01"
"Minor Arterial","21816","30528","21816","CA","2018-09-01"
"Principal Arterial - Other","32740","25920","32740","CA","2018-09-01"
"Principal Arterial - Other Freeways and Expressways","14372","5760","14372","CA","2018-09-01"
"Trail or Shared Use Path","47219","17281","47219","CA","2018-09-01"
"Major Collector","9113","1752","9113","CA","2018-10-01"
"Minor Arterial","18278","24384","18278","CA","2018-10-01"
"Principal Arterial - Other","17880","21215","17880","CA","2018-10-01"
"Principal Arterial - Other Freeways and Expressways","12449","5952","12449","CA","2018-10-01"
"Trail or Shared Use Path","20734","9216","20734","CA","2018-10-01"
"Major Collector","19374","3948","19374","CA","2018-11-01"
"Minor Arterial","16566","26368","16566","CA","2018-11-01"
"Principal Arterial - Other","26321","25400","26321","CA","2018-11-01"
"Principal Arterial - Other Freeways and Expressways","10765","5744","10765","CA","2018-11-01"
"Trail or Shared Use Path","37633","16536","37633","CA","2018-11-01"
"Major Collector","18579","5186","18579","CA","2018-12-01"
"Minor Arterial","14362","26784","14362","CA","2018-12-01"
"Principal Arterial - Other","23466","26784","23466","CA","2018-12-01"
"Principal Arterial - Other Freeways and Expressways","6501","5952","6501","CA","2018-12-01"
"Trail or Shared Use Path","34004","17856","34004","CA","2018-12-01"
"Major Collector","19606","5770","19606","CA","2019-01-01"
"Minor Arterial","9989","22872","9989","CA","2019-01-01"
"Principal Arterial - Other","24850","24817","24850","CA","2019-01-01"
"Principal Arterial - Other Freeways and Expressways","8290","5952","8290","CA","2019-01-01"
"Trail or Shared Use Path","33900","17856","33900","CA","2019-01-01"
"Major Collector","14722","5354","14722","CA","2019-02-01"
"Minor Arterial","11982","23598","11982","CA","2019-02-01"
"Principal Arterial - Other","15507","20714","15507","CA","2019-02-01"
"Principal Arterial - Other Freeways and Expressways","7955","5376","7955","CA","2019-02-01"
"Trail or Shared Use Path","25603","16128","25603","CA","2019-02-01"
"Major Collector","25291","5944","24469","CA","2019-03-01"
"Minor Arterial","16556","23344","15955","CA","2019-03-01"
"Principal Arterial - Other","7759","18834","7591","CA","2019-03-01"
"Principal Arterial - Other Freeways and Expressways","11052","5944","10604","CA","2019-03-01"
"Trail or Shared Use Path","36920","17832","35688","CA","2019-03-01"
"Major Collector","29575","5760","29575","CA","2019-04-01"
"Minor Arterial","14167","19752","14167","CA","2019-04-01"
"Principal Arterial - Other","26668","24539","26668","CA","2019-04-01"
"Principal Arterial - Other Freeways and Expressways","11012","5760","11012","CA","2019-04-01"
"Trail or Shared Use Path","39089","17280","39089","CA","2019-04-01"
"Major Collector","22799","5952","22799","CA","2019-05-01"
"Minor Arterial","13147","19152","13147","CA","2019-05-01"
"Principal Arterial - Other","11749","24906","11749","CA","2019-05-01"
"Principal Arterial - Other Freeways and Expressways","10641","5952","10641","CA","2019-05-01"
"Trail or Shared Use Path","35841","17856","35841","CA","2019-05-01"
"Major Collector","29658","5004","29658","CA","2019-06-01"
"Minor Arterial","10998","18300","10998","CA","2019-06-01"
"Principal Arterial - Other","4792","23760","4792","CA","2019-06-01"
"Principal Arterial - Other Freeways and Expressways","12727","5760","12727","CA","2019-06-01"
"Trail or Shared Use Path","42887","17280","42887","CA","2019-06-01"
"Major Collector","38638","4658","38638","CA","2019-07-01"
"Minor Arterial","18165","23700","18165","CA","2019-07-01"
"Principal Arterial - Other","6356","26106","6356","CA","2019-07-01"
"Principal Arterial - Other Freeways and Expressways","13538","5952","13538","CA","2019-07-01"
"Trail or Shared Use Path","41801","17396","41801","CA","2019-07-01"
"Major Collector","32223","5032","32223","CA","2019-08-01"
"Minor Arterial","16051","22430","16051","CA","2019-08-01"
"Principal Arterial - Other","6136","20832","6136","CA","2019-08-01"
"Principal Arterial - Other Freeways and Expressways","11776","5952","11776","CA","2019-08-01"
"Trail or Shared Use Path","24734","12568","24734","CA","2019-08-01"
"Major Collector","28596","5614","28596","CA","2019-09-01"
"Minor Arterial","12527","20004","12527","CA","2019-09-01"
"Principal Arterial - Other","4974","17528","4974","CA","2019-09-01"
"Principal Arterial - Other Freeways and Expressways","0","5760","0","CA","2019-09-01"
"Trail or Shared Use Path","45019","17280","45019","CA","2019-09-01"
"Major Collector","27374","5544","27374","CA","2019-10-01"
"Minor Arterial","9819","23808","9819","CA","2019-10-01"
"Principal Arterial - Other","5056","17088","5056","CA","2019-10-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CA","2019-10-01"
"Trail or Shared Use Path","41543","17856","41543","CA","2019-10-01"
"Major Collector","22067","5274","22067","CA","2019-11-01"
"Minor Arterial","10203","22376","10203","CA","2019-11-01"
"Principal Arterial - Other","4142","16560","4142","CA","2019-11-01"
"Principal Arterial - Other Freeways and Expressways","0","5062","0","CA","2019-11-01"
"Trail or Shared Use Path","36717","17232","36717","CA","2019-11-01"
"Major Collector","19618","5952","19618","CA","2019-12-01"
"Minor Arterial","8403","21658","8403","CA","2019-12-01"
"Principal Arterial - Other","3574","17748","3574","CA","2019-12-01"
"Trail or Shared Use Path","27599","17856","27599","CA","2019-12-01"
"Major Collector","23872","5666","23872","CA","2020-01-01"
"Minor Arterial","7954","18984","7954","CA","2020-01-01"
"Principal Arterial - Other","4985","17460","4985","CA","2020-01-01"
"Trail or Shared Use Path","37887","17856","37887","CA","2020-01-01"
"Major Collector","20849","5396","20849","CA","2020-02-01"
"Minor Arterial","8564","19080","8564","CA","2020-02-01"
"Principal Arterial - Other","4614","16200","4614","CA","2020-02-01"
"Trail or Shared Use Path","28897","16704","28897","CA","2020-02-01"
"Major Collector","23189","5944","22279","CA","2020-03-01"
"Minor Arterial","13649","19918","13078","CA","2020-03-01"
"Principal Arterial - Other","4768","16928","4588","CA","2020-03-01"
"Trail or Shared Use Path","34182","17832","32961","CA","2020-03-01"
"Major Collector","26967","5760","26967","CA","2020-04-01"
"Minor Arterial","16060","18024","16060","CA","2020-04-01"
"Principal Arterial - Other","6061","16260","6061","CA","2020-04-01"
"Trail or Shared Use Path","42244","17280","42244","CA","2020-04-01"
"Major Collector","51858","5952","51858","CA","2020-05-01"
"Minor Arterial","21914","19836","21914","CA","2020-05-01"
"Principal Arterial - Other","8110","17664","8110","CA","2020-05-01"
"Trail or Shared Use Path","72994","17856","72994","CA","2020-05-01"
"Major Collector","31695","3766","31695","CA","2020-06-01"
"Minor Arterial","19542","18553","19542","CA","2020-06-01"
"Principal Arterial - Other","6395","17060","6395","CA","2020-06-01"
"Trail or Shared Use Path","57457","11880","57457","CA","2020-06-01"
"Major Collector","45959","4706","45959","CA","2020-07-01"
"Minor Arterial","33033","20671","33033","CA","2020-07-01"
"Principal Arterial - Other","6818","16748","6818","CA","2020-07-01"
"Trail or Shared Use Path","65576","11904","65576","CA","2020-07-01"
"Major Collector","43905","4490","43905","CA","2020-08-01"
"Minor Arterial","37363","20832","37363","CA","2020-08-01"
"Principal Arterial - Other","6230","14483","6230","CA","2020-08-01"
"Trail or Shared Use Path","61735","11904","61735","CA","2020-08-01"
"Major Collector","3942","672","3942","CA","2020-09-01"
"Minor Arterial","20553","12564","20553","CA","2020-09-01"
"Principal Arterial - Other","2362","9657","2362","CA","2020-09-01"
"Trail or Shared Use Path","15550","6428","15550","CA","2020-09-01"
"Minor Arterial","14625","9492","14625","CA","2020-10-01"
"Principal Arterial - Other","1044","4968","1044","CA","2020-10-01"
"Trail or Shared Use Path","12004","5952","12004","CA","2020-10-01"
"Minor Arterial","16448","10620","16443","CA","2020-11-01"
"Principal Arterial - Other","1131","5268","1131","CA","2020-11-01"
"Trail or Shared Use Path","9512","5752","9502","CA","2020-11-01"
"Minor Arterial","19080","10520","19080","CA","2020-12-01"
"Principal Arterial - Other","1139","7201","1139","CA","2020-12-01"
"Trail or Shared Use Path","9136","5952","9136","CA","2020-12-01"
"Minor Arterial","15564","10056","15564","CA","2021-01-01"
"Principal Arterial - Other","1732","11904","1732","CA","2021-01-01"
"Trail or Shared Use Path","10012","5952","10012","CA","2021-01-01"
"Minor Arterial","19106","10752","19106","CA","2021-02-01"
"Principal Arterial - Other","1598","10150","1598","CA","2021-02-01"
"Trail or Shared Use Path","9424","5376","9424","CA","2021-02-01"
"Minor Arterial","22757","11780","22148","CA","2021-03-01"
"Principal Arterial - Other","1039","8824","1023","CA","2021-03-01"
"Trail or Shared Use Path","245","192","245","CA","2021-03-01"
"Minor Arterial","22927","11520","22927","CA","2021-04-01"
"Principal Arterial - Other","1049","8640","1049","CA","2021-04-01"
"Minor Arterial","23382","11904","23382","CA","2021-05-01"
"Principal Arterial - Other","1149","8928","1149","CA","2021-05-01"
"Minor Arterial","21825","9216","21825","CA","2021-06-01"
"Principal Arterial - Other","1106","8640","1106","CA","2021-06-01"
"Minor Arterial","17590","8928","17590","CA","2021-07-01"
"Principal Arterial - Other","756","8928","756","CA","2021-07-01"
"Minor Arterial","17936","8928","17936","CA","2021-08-01"
"Principal Arterial - Other","793","8928","793","CA","2021-08-01"
"Minor Arterial","18862","8640","18862","CA","2021-09-01"
"Principal Arterial - Other","763","8639","763","CA","2021-09-01"
"Minor Arterial","20081","8928","20081","CA","2021-10-01"
"Principal Arterial - Other","748","6624","748","CA","2021-10-01"
"Minor Arterial","16286","8628","16283","CA","2021-11-01"
"Principal Arterial - Other","718","5748","718","CA","2021-11-01"
"Minor Arterial","17540","9001","17540","CA","2021-12-01"
"Principal Arterial - Other","470","4872","470","CA","2021-12-01"
"Minor Arterial","16950","8928","16950","CA","2022-01-01"
"Principal Arterial - Other","515","4884","515","CA","2022-01-01"
"Minor Arterial","17276","8064","17276","CA","2022-02-01"
"Principal Arterial - Other","314","2688","314","CA","2022-02-01"
"Minor Arterial","22110","7893","21786","CA","2022-03-01"
"Principal Arterial - Other","452","2880","452","CA","2022-03-01"
"Trail or Shared Use Path","0","538","0","CA","2022-03-01"
"Minor Arterial","9562","7759","9562","CA","2022-04-01"
"Principal Arterial - Other","432","2880","432","CA","2022-04-01"
"Trail or Shared Use Path","0","528","0","CA","2022-04-01"
"Minor Arterial","1139","8928","1139","CA","2022-05-01"
"Principal Arterial - Other","505","2976","505","CA","2022-05-01"
"Minor Arterial","806","6511","806","CA","2022-06-01"
"Principal Arterial - Other","577","2880","577","CA","2022-06-01"
"Minor Arterial","961","7767","961","CA","2022-07-01"
"Principal Arterial - Other","600","2976","600","CA","2022-07-01"
"Minor Arterial","1208","8832","1208","CA","2022-08-01"
"Principal Arterial - Other","654","2976","654","CA","2022-08-01"
"Minor Arterial","1360","7192","1360","CA","2022-09-01"
"Principal Arterial - Other","595","2876","595","CA","2022-09-01"
"Minor Arterial","1379","8540","1379","CA","2022-10-01"
"Principal Arterial - Other","544","2976","544","CA","2022-10-01"
"Minor Arterial","1069","8628","1069","CA","2022-11-01"
"Principal Arterial - Other","421","2872","421","CA","2022-11-01"
"Minor Arterial","233","4320","233","CA","2022-12-01"
"Principal Arterial - Other","399","2976","399","CA","2022-12-01"
"Minor Arterial","0","2976","0","CA","2023-01-01"
"Principal Arterial - Other","332","2976","332","CA","2023-01-01"
"Minor Arterial","0","2688","0","CA","2023-02-01"
"Principal Arterial - Other","287","2688","287","CA","2023-02-01"
"Minor Arterial","0","2972","0","CA","2023-03-01"
"Principal Arterial - Other","301","2972","301","CA","2023-03-01"
"Minor Arterial","0","2880","0","CA","2023-04-01"
"Principal Arterial - Other","442","2880","442","CA","2023-04-01"
"Minor Arterial","0","2976","0","CA","2023-05-01"
"Principal Arterial - Other","541","2976","541","CA","2023-05-01"
"Minor Arterial","0","1292","0","CA","2023-06-01"
"Principal Arterial - Other","2","44","2","CA","2023-06-01"
"Principal Arterial - Other Freeways and Expressways","471","47","471","CO","1999-01-01"
"Principal Arterial - Other Freeways and Expressways","6351","961","6351","CO","1999-02-01"
"Trail or Shared Use Path","16583","1296","16583","CO","1999-02-01"
"Trail or Shared Use Path","8360","720","8360","CO","1999-03-01"
"Principal Arterial - Other Freeways and Expressways","6870","672","6870","CO","1999-05-01"
"Trail or Shared Use Path","15890","1176","15890","CO","1999-05-01"
"Major Collector","8146","1344","8146","CO","1999-06-01"
"Principal Arterial - Other Freeways and Expressways","25144","1844","25144","CO","1999-06-01"
"Trail or Shared Use Path","67979","2796","67979","CO","1999-06-01"
"Trail or Shared Use Path","44687","1880","44687","CO","2000-08-01"
"Trail or Shared Use Path","58109","3600","58109","CO","2000-09-01"
"Major Collector","1772","884","1772","CO","2000-10-01"
"Trail or Shared Use Path","83492","3710","83492","CO","2000-10-01"
"Major Collector","1340","1440","1340","CO","2000-11-01"
"Trail or Shared Use Path","29847","1980","29847","CO","2000-11-01"
"Major Collector","862","1488","862","CO","2000-12-01"
"Major Collector","1412","1488","1412","CO","2001-01-01"
"Major Collector","900","1344","900","CO","2001-02-01"
"Major Collector","755","412","755","CO","2001-03-01"
"Trail or Shared Use Path","36387","2324","36387","CO","2001-04-01"
"Major Collector","7775","3310","7775","CO","2001-05-01"
"Trail or Shared Use Path","31021","1870","31021","CO","2001-05-01"
